multiplier,point_estimate_2_0,lower_ci_2_0,upper_2_0,point_estimate_2_6,lower_ci_2_6,upper_2_6,point_estimate_3_3,lower_ci_3_3,upper_3_3
0.9,0.34218802597581466,0.2628413329058195,0.38189005107887014,0.5033241902639727,0.4257391264794088,0.5591322514936607,0.6995283205867229,0.6248358035055912,0.7615687154843351
1.0,0.3657400070754785,0.28011960431900007,0.4081095032500298,0.5325428018331029,0.4521590235218574,0.5888827379223772,0.7287605403254312,0.6552288530310442,0.7886819091847298
1.1,0.3875973049926901,0.2961037953143629,0.43247915343345944,0.5587779972402505,0.47620027731399867,0.6151563971947711,0.7537218749978517,0.6818239312538419,0.8112222974545101
1.2,0.40790986107763605,0.31084470849101453,0.4551675978798804,0.582412573605788,0.49802584668034733,0.6384420808390363,0.7751770525756824,0.7051355977152814,0.8301457833495537
1.3,0.4268167848745804,0.32449970897915825,0.4763524260329349,0.6037771998333246,0.5180141308832704,0.6592972948181863,0.7937380073246911,0.7255163450859006,0.8462231855781656
1.4,0.4444452946697792,0.3371334551077326,0.4960113586436042,0.6231559987193489,0.5361170810248131,0.6779788608606079,0.8098954397889607,0.7436628650115273,0.8599221535155085
1.5,0.46091070275281676,0.3488234549831661,0.5142789210777684,0.6407925824950806,0.552785043422994,0.6948151907902705,0.8240443672479985,0.7598106530879721,0.8717250568716701
1.6,0.47631696579065064,0.3597267240456905,0.5312781840306443,0.6568958132853249,0.5680485234822302,0.7100223848109702,0.836504354330097,0.774309853643475,0.881923363220288
1.7,0.49075751315144,0.36981014399965506,0.5471210568470076,0.671644983459812,0.582061017945155,0.7237525455255923,0.8475353573868485,0.7872639245915564,0.8908748313184405
1.8,0.5043161844548955,0.37922907765113656,0.5619088987299408,0.6851943261234781,0.5951076010656176,0.7362224621911124,0.8573500775967752,0.7990000912415214,0.8987861207789845
1.9,0.5170681799391161,0.38800877457878347,0.575733288386369,0.6976768700968938,0.6070077246027529,0.7476845022152498,0.8661235854707174,0.8096123555156827,0.9057575899139961
2.0,0.5290809710364541,0.39619271718532784,0.5886768535339191,0.7092076993238063,0.6181145399979298,0.7581327813122593,0.8740008321661334,0.8192838518281549,0.9119379000318324
2.1,0.5404151448073369,0.4038797351280741,0.6008141008905296,0.7198866921462835,0.6283225423106569,0.7678372731499513,0.8811025303467357,0.8281347350682822,0.9174639111054314
2.2,0.5511251713718596,0.4110326357776622,0.6122122123489451,0.729800816570549,0.6378413017423709,0.7767640357576217,0.8875297776167577,0.8361915654499184,0.9223941624817543
2.3,0.5612600923881419,0.4177895342736416,0.6229317889463686,0.7390260516050917,0.64668324681981,0.7850805016871748,0.8933677086199043,0.8436086950996109,0.92681561783682
2.4,0.5708641335340264,0.42408656764238906,0.6330275341986723,0.747628996195324,0.6548919210709193,0.7928187370003358,0.8986883945508441,0.8504544312555216,0.9307797607314878
2.5,0.5799772464454687,0.4300642244597071,0.64254887447935,0.7556682183138468,0.6626497418647967,0.8000133373797674,0.9035531573031479,0.8567880117493566,0.9343467851273852
2.6,0.5886355866308723,0.43564461581219815,0.6515405177550334,0.7631953883768354,0.6698488215136877,0.8067148515244871,0.9080144262996066,0.8626610367606498,0.9375896407275074
2.7,0.5968719341177979,0.4409537061882399,0.6600429540344592,0.7702562337396556,0.6766598428717027,0.8129798783374484,0.912117236331882,0.8681186401781198,0.940553775245538
2.8,0.6047160633650972,0.4459210915172254,0.6680929019280034,0.7768913446732532,0.6831309201334332,0.8188195272374925,0.9159004421916004,0.8731559625025046,0.9432703343626602
2.9,0.6121950685127067,0.4506589269802826,0.6757237061287924,0.7831368568881828,0.689263800906828,0.8242927294661252,0.9193977087439387,0.8778172919814052,0.9457469347297318
3.0,0.6193336494762984,0.455098990608357,0.6829656906596272,0.7890250312458351,0.6950998380979528,0.8294852527014157,0.9226383220415602,0.8821766284980992,0.9480109922551687
3.1,0.626154363802455,0.4593470469807005,0.6898464725410268,0.7945847476490951,0.7006501923959699,0.8343972688778765,0.9256478570960596,0.8862577798733821,0.950086166651625
3.2,0.632677848625496,0.4633323142959608,0.696391240226083,0.7998419271128564,0.7059544926718939,0.8391051608496665,0.9284487302623204,0.8900709875462134,0.9519929529738811
3.3,0.6389230165322551,0.4671513015954084,0.7026230007816281,0.8048198935662851,0.7109193744375591,0.843560284446867,0.931060658284298,0.8936553722837453,0.9537491689886844
3.4,0.6449072286561678,0.4707492146483789,0.7085627994121128,0.8095396849364638,0.7156144754548083,0.8477587111245432,0.9335010414763351,0.8970296834567271,0.9553703584893872
3.5,0.6506464478898291,0.4741943782465321,0.714229914546385,0.8140203214253807,0.7201175907138702,0.8517176049060573,0.9357852849552863,0.9001491963057084,0.9568701264734131
3.6,0.6561553747244249,0.47745686556234457,0.7196420313517746,0.8182790375515157,0.7243873695562655,0.8554541689129824,0.9379270690571165,0.9030905801683552,0.9582606473144131
3.7,0.6614475678916572,0.4805749926379435,0.7248153962114908,0.8223314834280273,0.7283956134091317,0.8589855138865817,0.9399385778874004,0.9058728392467734,0.9595567240017162
3.8,0.6665355516944942,0.4835453392054563,0.7297649544032012,0.8261918998465916,0.7322512143256376,0.8623271181002818,0.9418306932320528,0.9085001033125628,0.9607628524012143
3.9,0.6714309116625202,0.4863762674904874,0.7345044729490856,0.8298732709926239,0.7359512466770852,0.8655182587594394,0.9436131596891054,0.9109654571747796,0.9618913869785402
4.0,0.6761443799511461,0.48909070427179485,0.7390466503694925,0.8333874580042611,0.7393980429503397,0.8686147690446051,0.945294725795346,0.9133066778395333,0.962950878078251
4.1,0.6806859117171263,0.49166852291887836,0.7434032148616028,0.8367453160800986,0.7427236259918537,0.8715863167043872,0.9468832650525275,0.9155230917597221,0.9639433198668836
4.2,0.6850647535417248,0.494156821603902,0.7475850122388491,0.8399567974198586,0.745918240315655,0.8744845843236905,0.94838588005997,0.9176127027063612,0.964878537878349
4.3,0.6892895048339781,0.49651152572345786,0.7516020848037639,0.8430310419322152,0.7489027604961996,0.8772576400310614,0.9498089923976241,0.9196041167136491,0.9657575122029786
4.4,0.6933681730267187,0.49878633103840814,0.7554637421840185,0.8459764573521976,0.7517894800747708,0.8799680972910539,0.9511584204480128,0.9215037624074425,0.9665976647115806
4.5,0.6973082232746464,0.5009563099714254,0.7591786250363128,0.8488007901666064,0.7545787514925663,0.8825550582864912,0.952439446975062,0.9233011153117089,0.9673991277131384
4.6,0.7011166232744591,0.5030414318690627,0.7627547624134019,0.8515111885413282,0.7571803445336021,0.8850263691510513,0.9536568779755487,0.9249869176765795,0.9681549354254431
4.7,0.7047998837498604,0.5050466562480431,0.7661996234939236,0.8541142582724772,0.7597001243726595,0.8873892503769654,0.9548150940712804,0.9266005205431663,0.9688770938768558
4.8,0.7083640950774435,0.5069627798391353,0.7695201642911398,0.8566161126383531,0.762144446222445,0.8896503560354568,0.9559180955065333,0.9281462719593728,0.9695623080373581
4.9,0.7118149604715357,0.508819599624366,0.7727228698836456,0.8590224169067116,0.7644504695691889,0.8918158265729351,0.9569695416472968,0.9296249165146476,0.9702180332781204
5.0,0.7151578260958156,0.5105854531164489,0.7758137926472313,0.8613384281480604,0.7666607988545419,0.8938913359622047,0.9579727857397933,0.9310354122566582,0.970844180331481
5.1,0.718397708425821,0.5122974081673872,0.7787985869111823,0.8635690309175226,0.7688090370898785,0.8958821338841965,0.958930905570196,0.9323723586114512,0.9714384888462078
5.2,0.7215393191484234,0.5139398581390757,0.7816825404133685,0.8657187692927311,0.7708660755780453,0.8977930835269254,0.9598467305711655,0.9336527495366438,0.9720038248741715
5.3,0.7245870878511789,0.5155219194175875,0.784470602885575,0.8677918756911185,0.7728133654795766,0.8996286955121966,0.9607228658403113,0.934879441418036,0.9725410441267095
5.4,0.7275451827255006,0.5170524742158698,0.7871674120629202,0.8697922968351153,0.774709196863661,0.901393158395135,0.9615617134681459,0.9360604340785039,0.9730520454708995
5.5,0.7304175294822675,0.5185177927647118,0.7897773173781664,0.8717237171867185,0.7765559578529679,0.9030903661252561,0.9623654915162995,0.9371981440986568,0.9735385688256764
5.6,0.7332078286562888,0.5199420127971319,0.7923044015727032,0.8735895801324418,0.7782835776129737,0.9047239428091933,0.963136250938834,0.9382895150624981,0.9740192845692109
5.7,0.7359195714565796,0.5213066238232757,0.7947525004304421,0.8753931071648021,0.7799628120076785,0.9062972650731959,0.963875890698953,0.9393162882136886,0.9744781845665108
5.8,0.7385560543022851,0.5226294943693289,0.7971252208183507,0.8771373152763953,0.7816010249102818,0.9078134822871478,0.9645861712990055,0.9403078205972973,0.9749164940159804
5.9,0.7411203921690377,0.5239074124029913,0.7994259571975301,0.8788250327565639,0.7831735269900129,0.9092755348803288,0.9652687269124295,0.9412658436953594,0.9753353249182298
6.0,0.7436155308572547,0.525138706335382,0.8016579067511991,0.8804589135580679,0.7846658082769665,0.9106861709517389,0.965925076281327,0.9421885968126605,0.9757431856893647
6.1,0.7460442582821646,0.5263369499428927,0.803824083260479,0.8820414503815359,0.7861235880533676,0.9120479613539648,0.9665566325220353,0.9430569581507033,0.9761406314004167
6.2,0.7484092148749899,0.5274853241537302,0.80592732984516,0.8835749866083761,0.7875483128078078,0.9133633134087787,0.9671647119627784,0.9438977822627074,0.9765227252422057
6.3,0.750712903175537,0.5286041443817441,0.8079703306744858,0.8850617271979168,0.7888968117159766,0.9146344833945107,0.9677505421217801,0.9447123298742476,0.9768906657820282
6.4,0.7529576966883107,0.529683278990341,0.8099556217422231,0.8865037486515014,0.7901977113879858,0.9158635879293524,0.9683152689206976,0.9454977931149304,0.9772436283956334
6.5,0.7551458480670434,0.5307293546033814,0.8118856007907127,0.8879030081348517,0.7914706057751418,0.9170526143608428,0.96885996321657,0.9462388231605386,0.9775944251792028
6.6,0.7572794966861038,0.5317450047121516,0.813762536460089,0.8892613518399899,0.7927166058603426,0.9182034302595729,0.9693856267253826,0.946958085816388,0.9779360457149455
6.7,0.7593606756515285,0.5327249006712349,0.8155885767312802,0.8905805226592141,0.7938932414887535,0.9193177921044214,0.9698931974016062,0.9476565121482158,0.9782644576445041
6.8,0.7613913182993179,0.5336810024062077,0.817365756724651,0.8918621672358615,0.7950333116545827,0.9203973532371861,0.9703835543304712,0.9483348163362686,0.9785836667454232
6.9,0.7633732642240791,0.5346012144207685,0.8190960059101211,0.8931078424497703,0.7961504409578198,0.9214436711561436,0.9708575221831343,0.9489802223081244,0.9788918583769047
7.0,0.7653082648770252,0.5354988732747222,0.8207811547792142,0.8943190213893,0.7972454940794694,0.9224582142107279,0.9713158752791268,0.9496058401422351,0.9791886804993286
7.1,0.7671979887686955,0.5363676936360728,0.8224229410246693,0.8954970988564432,0.7982767686160326,0.9234423677530079,0.971759341295446,0.950214525811406,0.9794776286867618
7.2,0.769044026308486,0.5372119495607798,0.8240230152689468,0.8966433964468156,0.79928053999341,0.9243974397958937,0.9721886046572417,0.950806950576664,0.9797600268314693
7.3,0.7708478943101503,0.5380328343734427,0.8255829463790866,0.897759167242117,0.8002653620448553,0.9253246662228942,0.9726043096411894,0.9513837506021031,0.9800324747389517
7.4,0.7726110401897901,0.5388282009924767,0.8271042264019096,0.8988456001489233,0.8012319159789499,0.9262252155897218,0.9730070632192516,0.9519455292438176,0.9802954601799418
7.5,0.7743348458804833,0.5396043419337118,0.8285882751504463,0.8999038239143418,0.8021431490349286,0.9271001935540018,0.9733974376675407,0.9524928591594353,0.980551466606792
7.6,0.7760206314855603,0.5403548682421245,0.8300364444696595,0.9009349108461021,0.803030561825035,0.9279506469657701,0.9737759729623691,0.95302628425467,0.9808002440989322
7.7,0.7776696586906109,0.5410887276218094,0.8314500222070197,0.901939880262014,0.8039022014006196,0.9287775676482314,0.9741431789832515,0.953546321481604,0.9810407483042506
7.8,0.7792831339525641,0.5417985485787097,0.8328302359112075,0.9029197016913534,0.8047586104988266,0.9295818958954066,0.9744995375405695,0.9540519264501954,0.9812851631968786
7.9,0.7808622114826124,0.5424923925118729,0.8341782562801724,0.9038752978486282,0.8055714567258342,0.9303645237107419,0.9748455042437928,0.9545444030792039,0.9815220085184327
8.0,0.7824079960383251,0.5431652682031305,0.8354952003779231,0.9048075473982798,0.8063588963787012,0.9311262978084739,0.9751815102245401,0.9550249858544051,0.9817533665342244
8.1,0.7839215455390101,0.5438222630708913,0.8367821346377499,0.9057172875271693,0.8071331116750492,0.9318680223974953,0.9755079637273296,0.9554940954406711,0.9819881405413141
8.2,0.785403873517212,0.544460543687477,0.8380400776680605,0.9066053163401783,0.807894539584675,0.9325904617656404,0.975825251579597,0.9559521329323238,0.9822156650282354
8.3,0.786855951418176,0.5450835455395572,0.839270002875651,0.9074723950928721,0.8086262876871365,0.9332943426806536,0.9761337405514258,0.9563993058031041,0.9824364152504877
8.4,0.7882787107581413,0.5456907732091418,0.8404728409199715,0.9083192502739388,0.8093273492417806,0.9339803566226335,0.9764337786144206,0.9568345916164969,0.9826510504621191
8.5,0.789673045151451,0.5462823658425313,0.8416494820108326,0.9091465755490006,0.8100172477395747,0.9346491618614065,0.9767256961082551,0.9572599678966232,0.9828593090897944
8.6,0.7910398122156709,0.5468597754354373,0.8428007780609643,0.9099550335763872,0.8106963384597244,0.935301385391089,0.9770098068226141,0.9576734468147214,0.9830614576318486
8.7,0.7923798353631772,0.5474222950078144,0.8439275447039111,0.9107452577045492,0.8113608122777229,0.935937624733011,0.9772864090015286,0.9580669361808953,0.9832577484681126
8.8,0.7936939054870157,0.5479711598157052,0.8450305631868962,0.9115178535599663,0.81198687442953,0.9365584496172,0.977555786276455,0.9584519298293575,0.9834484207574034
8.9,0.7949827825482236,0.548506722419696,0.8461105821475178,0.912273400533661,0.8126034523030121,0.9371644035517401,0.9778182085338636,0.9588281373524467,0.9836337012688715
9.0,0.7962471970712599,0.5490288757378735,0.8471683192824322,0.9130124531737488,0.8132108374232817,0.937756005288526,0.9780739327225846,0.9591895476167126,0.9838138051527189
9.1,0.7974878515536747,0.5495394028061555,0.8482044629155433,0.9137355424908451,0.813809308109174,0.9383337501931973,0.9783232036056821,0.9595386075785192,0.9839889366552992
9.2,0.7987054217956939,0.5500365631947005,0.8492196734726216,0.9144431771825924,0.8143797532027139,0.9388981115264011,0.9785662544612089,0.9598805890386717,0.984159289783147
9.3,0.799900558154967,0.550522985028068,0.8502145848687506,0.9151358447830595,0.8149323066880494,0.9394495416429199,0.9788033077358074,0.9602133824049299,0.984325048920068
9.4,0.8010738867313356,0.5509975795513693,0.8511898058144993,0.9158140127423099,0.8154769933274582,0.9399884731146665,0.9790345756547811,0.9605303363302453,0.9844891189228968
9.5,0.8022260104861296,0.5514612090134365,0.8521459210462754,0.9164781294410103,0.8160140438544585,0.9405153197830648,0.979260260791946,0.9608411862851324,0.9846552078442398
9.6,0.8033575103001626,0.5519146860104694,0.853083492485905,0.917128625144572,0.8165412737002369,0.9410304777458756,0.9794805566022892,0.961146108794115,0.9848169922892267
9.7,0.8044689459743024,0.5523573528705054,0.8540030603341003,0.9177659129009634,0.8170377163519675,0.9415343262831284,0.9796956479202097,0.9614350573687316,0.9849847471955144
9.8,0.8055608571762157,0.5527901445037103,0.8549051441021411,0.9183903893860156,0.8175273871264165,0.9420272287264481,0.9799057114258788,0.961717933017471,0.9851484606077711
9.9,0.8066337643366265,0.5532135022136712,0.8557902435857683,0.9190024356997508,0.8180104788370648,0.9425095332757264,0.9801109160820523,0.9619956830358702,0.9853131379009971
10.0,0.8076881694981976,0.5536275836944393,0.8566588397850071,0.9196024181169933,0.8184871762461271,0.9429815737667767,0.9803114235434738,0.9622635495164369,0.985477224976963
