multiplier,point_estimate_2_0,lower_ci_2_0,upper_2_0,point_estimate_2_6,lower_ci_2_6,upper_2_6,point_estimate_3_3,lower_ci_3_3,upper_3_3
0.9,0.3788629088727742,0.303732964786524,0.3974188248223884,0.5300802332278431,0.45763032932863534,0.5554517651301782,0.7023558399687018,0.6377998342531976,0.7488026112040844
1.0,0.4048900056262593,0.3243444713424336,0.42473353655691043,0.5611553320498144,0.4862353540740797,0.586103953772545,0.7331445930191827,0.669762561477062,0.7773294924869215
1.1,0.42892832691824656,0.34344195952061457,0.4499109206169833,0.5889729745560095,0.5121759988078647,0.6132608093181575,0.7594656638907265,0.6977169463463652,0.8012339429316093
1.2,0.451152860351814,0.3611438618349383,0.4731377971622201,0.6139399365139304,0.5357244077271162,0.6375972782186932,0.7820867549479223,0.7222627318441821,0.8213951410437496
1.3,0.47172779367541795,0.3775674901533125,0.4945904725835986,0.6364123772448393,0.5570840070024834,0.6594441944923468,0.8016324167738217,0.7437993768985228,0.8385092560126629
1.4,0.4908045097139092,0.39278696862430756,0.5144321874863541,0.6566996289379026,0.5765842072428307,0.6792378619961466,0.8186104826449444,0.7627140678358161,0.8531286181573806
1.5,0.5085210314340533,0.4069360278668677,0.5328122346877735,0.6750691952386203,0.5944682822878823,0.6970383597303651,0.8334345732434123,0.7795080924583911,0.8656930658127883
1.6,0.5250023005903405,0.4200756729139673,0.549866059256441,0.6917519704529569,0.6109534075693809,0.7130960175483184,0.8464425974607408,0.794469928704186,0.8765545236868366
1.7,0.5403609078312481,0.43228783969637063,0.565715907981122,0.7069471936966054,0.626086432693715,0.7276250931998658,0.8579116804053917,0.8077491369415205,0.8859960831811432
1.8,0.5546980407693393,0.4437025307544905,0.5804717597559503,0.7208269264380791,0.6400694531936595,0.7408110687628762,0.868070091381826,0.8196472012508991,0.8942467557342939
1.9,0.5681045100407979,0.4543239547416224,0.5942323729914458,0.7335399874947666,0.6528580776122676,0.7528133409572569,0.8771067315895725,0.8303852619631484,0.9014928761247873
2.0,0.5806617718626632,0.46428555240337027,0.6070863524534148,0.7452153535538661,0.6647204481706499,0.7639277694584734,0.8851786710478935,0.8399694380862204,0.9078869328107081
2.1,0.5924429019014185,0.47360351833619924,0.6191131796583119,0.7559650678791919,0.6756083166999597,0.7741863521802453,0.8924171405564488,0.8486725742945213,0.9135544282231873
2.2,0.6035134975731713,0.4823473206927318,0.6303841769844472,0.7658867131668047,0.6857834441096224,0.7837888458443104,0.8989323055906419,0.8566016492185413,0.9186116472655276
2.3,0.6139324993868713,0.49056453544964873,0.6409633916850209,0.7750655067022046,0.6951764764662122,0.7926930526872911,0.9048170812691889,0.8637814665678051,0.9231879349846522
2.4,0.62375292990019,0.4982733346806839,0.6509083956575822,0.7835760727084141,0.7039825433906384,0.8009553251251025,0.9101501920123876,0.8703272825825802,0.9273352541701708
2.5,0.6330225533613952,0.5055549765577504,0.6602710024702503,0.7914839411571323,0.7122612147156329,0.8086258357185326,0.9149986351839977,0.8763495149848486,0.9311327674867682
2.6,0.6417844614761115,0.5123899813133662,0.6690979062632988,0.7988468159974381,0.7200580297933569,0.8157432597045037,0.9194196731396501,0.8818976116175609,0.9345679554442836
2.7,0.6500775917980746,0.5188717844174191,0.6774312486924456,0.8057156495793845,0.7273838150933135,0.8223607750256728,0.9234624508990193,0.886982205791611,0.9377379150045679
2.8,0.6579371855237466,0.5249656542765172,0.6853091206689492,0.812135554404143,0.7343057658642844,0.8285253602486465,0.9271693155224101,0.8916947170997445,0.9406602039094433
2.9,0.6653951913023959,0.5307598263235713,0.6927660056707041,0.8181465783644734,0.740727532910077,0.8343615169037759,0.9305768968769742,0.8960714700771066,0.9433400662814213
3.0,0.6724806212621067,0.5362219884291611,0.6998331710944412,0.8237843653676257,0.7468069016063896,0.8398246726521266,0.9337169967576942,0.9001444292897056,0.9458094336923349
3.1,0.6792198649251376,0.5414218734983318,0.7065390136463412,0.8290807196131611,0.7525106200060814,0.8449425792291477,0.9366173234459098,0.9039418143749431,0.9480762560178313
3.2,0.6856369661197442,0.5463428382062696,0.7129093642222756,0.8340640887598557,0.7578755493847702,0.8497692194884382,0.9393021010933535,0.9074886160754192,0.9501617412358063
3.3,0.6917538674349037,0.5510265783604013,0.7189677571669946,0.8387599786807881,0.7629605846872373,0.8543183310720522,0.9417925773113496,0.9108045056689535,0.9520848205242274
3.4,0.6975906262341705,0.5554814284299506,0.7247356682572469,0.8431913103983751,0.7677222405813685,0.8586159442179928,0.9441074476383373,0.9139103669353545,0.9538620405340191
