multiplier,point_estimate_2_0,lower_ci_2_0,upper_2_0,point_estimate_2_6,lower_ci_2_6,upper_2_6,point_estimate_3_3,lower_ci_3_3,upper_3_3
0.9,0.3640545676337221,0.3288803335034082,0.3886781899829875,0.532484960020942,0.48091179041416193,0.5522337492779107,0.7095850144771052,0.6563835413378621,0.739964271250946
1.0,0.3886591206696225,0.35136933831995604,0.4154759966417924,0.5632872685758292,0.5107769230698324,0.5830211843334798,0.7403518319601503,0.6881758172197339,0.769248226889651
1.1,0.4113039110878669,0.3721599453483794,0.44023703936786795,0.5907686461042962,0.5377752839305704,0.6103563222250676,0.7665825934033097,0.7157743367092959,0.7939000207544581
1.2,0.4321656512066221,0.39135746083976763,0.46320386668915997,0.615349252779325,0.5621521974992367,0.6348331510472403,0.7890613638501072,0.7398673606496017,0.8147787147254238
1.3,0.4514098315482904,0.40913814994815884,0.4845094553423158,0.6373966442995795,0.5843219758726725,0.6567111670051835,0.8084257816733693,0.7609663507202096,0.832569737670021
1.4,0.46918874631222807,0.4256403905036437,0.5042511836774155,0.6572297354658176,0.6043825089063326,0.6763098743936509,0.8251940936519598,0.7795486880323258,0.847820583697004
1.5,0.4856409814146204,0.44092215216189,0.5225701482726473,0.6751240111712,0.6226819988015325,0.6939235393885392,0.8397881689590554,0.7958461999135058,0.8609698888729792
1.6,0.5008917400004415,0.4551394209239891,0.5395949274219528,0.6913169622398475,0.6393326387803596,0.7098466745903076,0.8525524222632457,0.8103149456489116,0.872370541857915
1.7,0.5150536186792093,0.4683867853407419,0.5554420329524254,0.7060132434422952,0.6545761878439736,0.7242704523328535,0.8637690871504985,0.8231663754402508,0.8823078247737601
1.8,0.5282275985819236,0.4806938959394941,0.5702166632896343,0.7193893345783127,0.6685399735606523,0.7373780857851805,0.8736704241611675,0.8346533821942076,0.8910135719896257
1.9,0.540504110147046,0.4922084653494836,0.5840135964618464,0.7315976363083518,0.6813431092971647,0.7493269027113262,0.8824484342511012,0.844982380419363,0.8986772027798375
2.0,0.5519640897736441,0.5029621055604986,0.5969181249657295,0.7427700091651934,0.6931580261814401,0.7603011351020869,0.8902625770192414,0.8543022781232743,0.9054543256953337
2.1,0.5626799832104359,0.5130259981245999,0.6090069747063417,0.7530208001094193,0.7041293078705159,0.7703902025044155,0.8972459079092869,0.8627018414708142,0.9114734658683525
2.2,0.5727166730861706,0.5224795785573231,0.6203491757093315,0.7624494148516168,0.7143419020784151,0.7797474664164041,0.9035099682778134,0.8703195622084543,0.916841343290596
2.3,0.5821323215896754,0.5313280427225189,0.631006868254211,0.7711424964802709,0.7238693847099071,0.788367412490497,0.9091486931999976,0.877249726364945,0.92164703148954
2.4,0.5909791273066727,0.5396829090130623,0.6410360379024613,0.7791757675720669,0.7327755958382635,0.7963243697646583,0.9142415452831782,0.8835495323853559,0.9259652490963428
2.5,0.5993039997231966,0.5475221524304342,0.6504871787959333,0.7866155871387098,0.7411117874051435,0.803698755962142,0.9188560375289095,0.889322384496968,0.9298589776331163
2.6,0.6071491572468573,0.5549431409175907,0.6594058880036144,0.7935202672013462,0.7488336064098969,0.8106723388545688,0.9230497726718514,0.8946258457116695,0.9333815536862076
2.7,0.6145526556216365,0.5619290981776222,0.6678333955187845,0.799941187357793,0.756089040027421,0.8171538836819507,0.9268720986156725,0.8995098842374585,0.9365783492776003
2.8,0.6215488538522216,0.56855143621011,0.6758070353484735,0.8059237398285667,0.7628665201673838,0.8231907317363241,0.9303654579643755,0.9040180319542896,0.9394894833161078
