z,point_estimate,lower_ci,upper_ci
0.0,0.05958568739785264,0.04143067904631206,0.07483526186267647
0.1,0.06603171935843521,0.04463465070010585,0.08407770383832588
0.2,0.07318872359971429,0.048306765092144356,0.09415185365512058
0.3,0.08113611882434535,0.052537118418353734,0.10508971143302115
0.4,0.08995689852979638,0.05743014815802712,0.11691899203867931
0.5,0.09973602343688248,0.0631063211475141,0.1296624293819619
0.6,0.11055831258817084,0.0697035614238956,0.14333710484208773
0.7,0.12250581061768528,0.077378199779455,0.15795381532642758
0.8,0.13565465110491826,0.08630506895738739,0.17351649670068536
0.9,0.15007149305454226,0.09667621566911988,0.19002171813818586
1.0,0.16580967624994358,0.10869777579986745,0.2074582622933711
1.1,0.18290531449984693,0.12258421814267306,0.22580680509994658
1.2,0.20137361255835295,0.13854944451910017,0.24503970743300452
1.3,0.22120573858851478,0.15679426443519595,0.2651209288792664
1.4,0.2423665946357565,0.1774425061032318,0.28600607146962137
1.5,0.26479379091398236,0.19967525384728346,0.30764255849900696
1.6,0.28839804128515234,0.22324139228980214,0.3299699505609116
1.644854,0.2993384109721977,0.23411603083076815,0.34019139597124776
1.7,0.3130650632277956,0.24770378402780274,0.35292039774079254
1.8,0.3386589034337728,0.27281318436638347,0.37641922363800784
1.9,0.365026446497395,0.29840759005709244,0.4003856336198014
1.959964,0.38114031582277674,0.3139211118345989,0.4149455208644356
2.0,0.3920027286662765,0.3243444713424336,0.42473353655691043
2.1,0.41941659663692665,0.35069358057190575,0.4493877539459714
2.2,0.44709623711834945,0.37727888204029353,0.4747655379826736
2.3,0.47487415588766235,0.40455251634462763,0.5008981796488498
2.4,0.502591290966011,0.43160211441735596,0.5287034953285102
2.5,0.5301000797725179,0.45892661665821705,0.5570678452190821
2.575829,0.5507381097339148,0.4796531112792244,0.5789387833763018
2.6,0.5572664385339301,0.4862353540740798,0.586103953772545
2.7,0.5839707314589055,0.5135365189989151,0.6155475785998411
2.8,0.6101078927469623,0.5411831685726566,0.6444706224163335
2.9,0.6355869110737302,0.5685383633546615,0.6732215925587045
3.0,0.6603298963939159,0.5951344174291489,0.7019025828876199
3.1,0.6842709306067993,0.6208388314262484,0.7289004955344124
3.2,0.7073548669696996,0.6457691181394862,0.7540234788489257
3.290527,0.7274747269008288,0.6675055035690904,0.7751976291645348
3.3,0.7295361980265167,0.6697625614770621,0.7773294924869215
3.4,0.7507780663287438,0.6933670809326692,0.798895271868138
3.5,0.7710514519591649,0.7165020560783047,0.8188073224900259
3.6,0.7903345389399914,0.738773059752409,0.8371555693540912
3.7,0.8086122400806275,0.7598614154720567,0.8540292843697787
3.8,0.8258758462903623,0.779720274289364,0.8695147961803433
3.890592,0.840637530196717,0.7968506294100084,0.8824139548219783
3.9,0.8421227605484954,0.7985730273068204,0.8836944805625337
4.0,0.857356276868851,0.8163972299394073,0.8966465878175812
4.1,0.8715853689215715,0.8333787301906541,0.9085030365376915
4.2,0.8848244598324354,0.8492836510614181,0.9193440463629979
4.3,0.8970931526859401,0.8640556884262085,0.9291781983734794
4.4,0.9084159093459784,0.8777539306572631,0.9380481902611998
4.5,0.9188216726248848,0.8901542934731534,0.9460623844856167
4.6,0.9283434331095193,0.9016715483908564,0.9532748942215019
4.7,0.9370177468600841,0.9122316166805048,0.9597325800268434
4.8,0.9448842136854317,0.9218239353677271,0.9654590967248994
4.9,0.951984927850848,0.930648094468521,0.9705389237065644
5.0,0.9583639140582132,0.9387331484822373,0.9750092223656608
5.1,0.9640665615664092,0.9461106695337689,0.9788837665290252
5.2,0.9691390686182741,0.9527989510170934,0.9822306294385109
5.3,0.9736279081274183,0.9587903917622342,0.9851213914571592
5.4,0.9775793240487918,0.9641886449812016,0.9876126703882232
5.5,0.9810388661743337,0.9690302455120942,0.9897360253860007
5.6,0.9840509693874128,0.9733249711880453,0.9915385669858152
5.7,0.9866585817697066,0.977127287290498,0.9930533641300414
5.8,0.988902844441364,0.9804435224809821,0.9943246106459922
5.9,0.9908228246605524,0.9833397238681117,0.9953870759701993
6.0,0.9924553025189928,0.9858739154224345,0.9962737798204864
6.1,0.9938346105355171,0.9879967483909666,0.9970047337461656
6.2,0.9949925245487131,0.9898239002248658,0.9976056116885635
6.3,0.995958203516868,0.9913672643411701,0.9980945727978723
6.4,0.9967581751252654,0.9927022540341988,0.9984902400003417
6.5,0.9974163634616204,0.9938526521057066,0.998810917833797
6.6,0.9979541544454366,0.9948402369012913,0.9990685598492556
6.7,0.9983904941943937,0.9956848371984378,0.9992736771162702
6.8,0.9987420150999714,0.9964044059498377,0.9994360317355307
6.9,0.9990231840924574,0.9970151090658919,0.9995637701332626
7.0,0.9992464674312622,0.9975314255381104,0.9996641784806577
7.1,0.9994225063843931,0.9979662555159526,0.9997428016715784
7.2,0.9995602983745874,0.998331033295098,0.9998039275017846
7.3,0.9996673785674212,0.998635842540629,0.9998515095345252
7.4,0.999749997440282,0.9988895314411809,0.9998880940707224
7.5,0.9998132905664473,0.99909982585854,0.9999162113464943
7.6,0.9998614376300149,0.9992734388921675,0.9999375898526789
7.7,0.9998978085034756,0.9994161756122578,0.999953748539744
7.8,0.9999250950190449,0.9995330320226091,0.9999659479873887
7.9,0.9999454278022968,0.9996282875919681,0.9996282875919681
8.0,0.9999604781773318,0.9997055909372753,0.9997055909372752
8.1,0.9999715456744573,0.9997680384534554,0.9999868243575353
8.2,0.9999796320648967,0.9998182458623093,0.9999905112062492
8.3,0.9999855031146337,0.9998584127988633,0.9999932028147447
8.4,0.9999897394024422,0.9998903806691419,0.9999951535667803
8.5,0.9999927776027416,0.999915684101336,0.9999965579781762
8.6,0.9999949436124662,0.9999355963756676,0.9999975647907479
8.7,0.9999964788233836,0.9999511692601926,0.9999982837617782
8.8,0.9999975607265101,0.9999632677037669,0.9999987956949309
8.9,0.9999983188999658,0.9999725998469543,0.9999725998469543
9.0,0.9999988472890159,0.9999797428100761,0.9999797428100761
