multiplier,point_estimate_2_0,lower_ci_2_0,upper_2_0,point_estimate_2_6,lower_ci_2_6,upper_2_6,point_estimate_3_3,lower_ci_3_3,upper_3_3
0.9,0.36405456762307187,0.3307907378835117,0.3895168840967253,0.532484959988403,0.48255289628857057,0.5523183963752017,0.7095850144513087,0.6579720827417612,0.7392858873638221
1.0,0.38865912065869923,0.35341572941579924,0.4163762973295667,0.5632872685422678,0.5124905790594454,0.5831032048159661,0.7403518319344844,0.6897104784822016,0.7686272205781447
1.1,0.4113039110768181,0.37431699906858446,0.4413129643879011,0.5907686460699788,0.5395312182856449,0.6104831214236212,0.7665825933779253,0.7172453180923082,0.7933359819127555
1.2,0.43216565119557204,0.3936085578369709,0.46435951184784124,0.6153492527444657,0.5639969667311695,0.6350166387510026,0.789061363825102,0.7412742960473997,0.8142696205515514
1.3,0.4514098315373445,0.41146818177275785,0.48568210426745295,0.6373966442643503,0.5861671006735821,0.656956411497288,0.8084257816488027,0.762341792776597,0.8321126794302003
1.4,0.469188746301475,0.42805022588400016,0.5054353776274433,0.6572297354303563,0.6062522947234088,0.6766149058534723,0.825194093627865,0.7807359225472614,0.8474122296018884
1.5,0.48564098140413425,0.44340662228685923,0.5237613796392736,0.6751240111356168,0.6245692012633715,0.6942860138871352,0.8397881689354467,0.7969650479038766,0.8606067727815234
1.6,0.5008917399902846,0.45770427131987435,0.5407894850108977,0.691316962204231,0.6412107862595599,0.7102214355684254,0.8525524222401247,0.8113481797102822,0.8720492383126234
1.7,0.5150536186694337,0.4710036801100229,0.5566368704285469,0.7060132434067163,0.6564913742707738,0.7246367548256057,0.8637690871278586,0.8241674539180334,0.8820250505636541
1.8,0.5282275985725726,0.4833857032429345,0.5714092883364478,0.7193893345428277,0.6705218238072256,0.7377436117855731,0.8736704241389959,0.8356482584543434,0.8907662407112249
1.9,0.540504110138156,0.4949697682809583,0.5852019779386092,0.7315976362730064,0.6834898700735103,0.7496951570866658,0.8824484342293822,0.8459644699557328,0.8984624497275191
2.0,0.5519640897652451,0.5057637474047857,0.5981006154224306,0.7427700091300237,0.6954561401601395,0.7606945286227835,0.8902625769979567,0.8552451023311175,0.9052695143767308
2.1,0.5626799832025533,0.5158899704739662,0.6101822458532296,0.7530208000744539,0.7065438974186069,0.7707944511067921,0.8972459078884176,0.8636136339068046,0.9113161834713034
2.2,0.5727166730788251,0.5253774360469916,0.6215161647322118,0.7624494148168783,0.7167535796625119,0.7801587053322137,0.90350996825734,0.871194585474123,0.9167093898240395
2.3,0.5821323215828842,0.5342998843936001,0.6321647331668468,0.7711424964457775,0.7262572285709735,0.7888670353397615,0.909148693179901,0.8780992797901778,0.9215384056148214
2.4,0.5909791273004501,0.5426842881669605,0.6421841204072419,0.7791757675378325,0.7350316995779242,0.7969519460227157,0.9142415452634396,0.8843917960294004,0.9258781325496518
2.5,0.5993039997175543,0.5505873913445469,0.6516249733727392,0.7866155871047452,0.7432470944538196,0.8044339217937088,0.9188560375095108,0.8901559908498309,0.9297917194118086
2.6,0.6071491572418045,0.558034338299227,0.6605330161616921,0.7935202671676594,0.7509475957278663,0.8113727062185828,0.9230497726527754,0.8954497202640884,0.9333326546986696
2.7,0.614552655617181,0.565106055109707,0.6689495843287323,0.7999411873243902,0.758180786265331,0.8178208852654704,0.926872098596903,0.9003231965124692,0.9365464478508324
2.8,0.6215488538483692,0.571767655778692,0.6769120995242325,0.8059237397954525,0.7649535218094695,0.8238248701336742,0.9303654579458969,0.9048201543014228,0.9394719865758974
2.9,0.6281688245414905,0.5780960677503255,0.6844544903038465,0.8115081322570787,0.7712829928228189,0.829472685578127,0.9335664928451833,0.9089788173900397,0.9421426379706305
3.0,0.6344407151179796,0.5841014938001174,0.6916075647778772,0.8167300713141087,0.7772332207640809,0.8347535892746608,0.9365069533164927,0.912832703073631,0.9446134770592598
3.1,0.6403900657955103,0.5897865021584575,0.6983993404371608,0.821621345688186,0.7828024958658217,0.8397221625501696,0.9392144471410957,0.9164112944852584,0.9469222679586061
3.2,0.6460400896314396,0.5952005763880222,0.7048553360625155,0.8262103250243907,0.7880774768785003,0.8444509731229568,0.9417130614545525,0.9197406046571686,0.9490515693163134
