z,point_estimate,lower_ci,upper_ci
0.0,0.07431272827427682,0.04693805078009548,0.07671199651182227
0.1,0.08343208461079021,0.05121053446676987,0.08642937007319815
0.2,0.0933704410951609,0.05607702591555591,0.09703895835659604
0.3,0.10416039281127365,0.06164132892146591,0.10857466253763662
0.4,0.11583062203514272,0.06802093088536666,0.12106532975232276
0.5,0.12840522994775838,0.07534755170342619,0.1345339500978301
0.6,0.1419030843873046,0.08376702923086031,0.1489968882128663
0.7,0.15633719752414055,0.0934382628868232,0.16446316874711317
0.8,0.17171414773791494,0.10453082695856317,0.18093383514973005
0.9,0.18803356002008753,0.1172207982679495,0.19840140075346718
1.0,0.20528765888969713,0.1316845244419115,0.21684941007686484
1.1,0.2234609070792044,0.1480899258554021,0.23625212660674416
1.2,0.2425297421168614,0.1665853870065232,0.2565743610740517
1.3,0.2624624214118456,0.18728654017516527,0.27777145143904985
1.4,0.28321898456172523,0.21013879147179773,0.29978940252111835
1.5,0.30475133938585386,0.23424952655361983,0.32256518953021823
1.6,0.327003475693161,0.25928303874274405,0.34602722578690553
1.644854,0.33720168640603077,0.2707622765465546,0.3567530118719618
1.7,0.3499118080806586,0.28506817966353915,0.3700959907770736
1.8,0.37340564620187333,0.31141424346319757,0.3946848105091566
1.9,0.39740778802231447,0.3381495229904464,0.41970077806442413
1.959964,0.4120099377782218,0.35432403404807283,0.43486562846556664
2.0,0.4218352286769814,0.36512491970165695,0.44504579839499003
2.1,0.4465999747499685,0.3920851589557246,0.4706177379638155
2.2,0.47160995119444504,0.4194739482123005,0.49631165685995915
2.3,0.4967699857844483,0.4475239089531964,0.5220210986679574
2.4,0.5219828540122612,0.4753183179779507,0.5476616736522698
2.5,0.5471503657806256,0.5026617097355259,0.5743331126695039
2.575829,0.5661442688312855,0.523176220726987,0.5950585466955582
2.6,0.5721744741386336,0.5296229108173692,0.60187273033764
2.7,0.5969583857099557,0.5560324859190786,0.6299130153515198
2.8,0.6214076523817489,0.5824364904266796,0.6582300671985976
2.9,0.6454312242645851,0.6087746310844447,0.6864490986542054
3.0,0.6689424448831583,0.6348847872110994,0.7132126794348063
3.1,0.6918599709827369,0.6601448948995049,0.7383875768337754
3.2,0.71410860119021,0.6843339091303716,0.7619729717243074
3.290527,0.7336155516117104,0.7052290965226129,0.7819806187559759
3.3,0.7356199999904599,0.7073694142475541,0.7840018367999544
3.4,0.7563333059968431,0.7296061104860457,0.8045194563480463
3.5,0.7761956162286593,0.7511384345298912,0.8235785928625141
3.6,0.7951623409733855,0.7718964397134771,0.8412361298997598
3.7,0.8131974267200968,0.7918129231182982,0.8575509269342781
3.8,0.8302734475173681,0.8108217958641324,0.8725825887443606
3.890592,0.8448990725169184,0.8272030778321393,0.8851423011276693
3.9,0.8463715678532446,0.8288346218113508,0.8863908667156765
4.0,0.8614813827034976,0.84547733198019,0.8990354510587439
4.1,0.8756006426844336,0.8610861089953531,0.910575965490292
4.2,0.8887348742273963,0.8755553959030038,0.9211003404059535
4.3,0.9008969063269057,0.8888621125399983,0.9306844121707044
4.4,0.9121063166807445,0.9009624683872803,0.9393732555463333
4.5,0.9223888109304763,0.9120476116662182,0.9472134752404479
4.6,0.9317755492310917,0.9222308515996701,0.9542455765745066
4.7,0.9403024345475756,0.931538643364849,0.9605208964812864
4.8,0.9480093769236536,0.9398014370137289,0.9661075292269048
4.9,0.954939547531309,0.9472828356835279,0.971046137121366
5.0,0.9611386356313553,0.9539922688308765,0.9753788940179495
5.1,0.9666541206996422,0.9598947562344483,0.9791639851636116
5.2,0.9715345709430009,0.9651627690536582,0.9824698049963875
5.3,0.9758289782819449,0.9698446684979557,0.9853267431802109
5.4,0.9795861386447422,0.9739978504452635,0.9877902944717468
5.5,0.9828540851228714,0.9776727082540676,0.9898878921892795
5.6,0.9856795801959931,0.9809101793181677,0.9916565171496391
5.7,0.9881076718533975,0.9837497231298634,0.9931425724679507
5.8,0.9901813170223468,0.9862290654928464,0.9943958797091287
5.9,0.9919410742653434,0.9883839975455369,0.9954464207485063
6.0,0.9934248662357971,0.9902482178018324,0.9963235103907974
6.1,0.994667810900618,0.9918532700209018,0.997049706189815
6.2,0.9957021190760175,0.9932284207887634,0.9976482946053439
6.3,0.996557054418587,0.9943798553780777,0.9981334980328496
6.4,0.9972589507178343,0.9953393971283278,0.9985243470900285
6.5,0.9978312802059245,0.9961440231898576,0.9988378910325119
6.6,0.9982947656932075,0.9968199409532537,0.9990883826441863
6.7,0.9986675287051571,0.9973808013577273,0.9992878423762108
6.8,0.9989652654742317,0.9978509103391541,0.9994467459910242
6.9,0.999201442645137,0.9982433570963968,0.9995724405432906
7.0,0.9993875048764168,0.9985696423413266,0.9996713930656486
7.1,0.9995330871335907,0.9988398167184397,0.9997488537163806
7.2,0.999646225316661,0.9990626170615536,0.9998090964784513
7.3,0.9997335598802197,0.9992455983872388,0.9998556515982236
7.4,0.9998005282126625,0.9993952599755686,0.9998912895612769
7.5,0.9998515426677566,0.9995171643037072,0.9999184569447092
7.6,0.9998901522202787,0.9996160479710589,0.9999390809504157
7.7,0.9999191866938557,0.9996959240828461,0.9999546739930258
7.8,0.9999408833457915,0.9997601758407818,0.9999664623804356
7.9,0.9999569962695811,0.999811641325366,0.9999753189885958
8.0,0.9999688895855602,0.9998526896461297,0.9999819247181577
8.1,0.9999776157410974,0.9998852887867501,0.9999868586961883
8.2,0.9999839804506949,0.9999110655850603,0.9999904861844519
8.3,0.9999885958958591,0.9999313583677046,0.9999313583677046
8.4,0.9999919237996974,0.9999472628099708,0.9999950938861897
8.5,0.9999943099167204,0.9999596716175783,0.9999965090140246
8.6,0.9999960113570298,0.9999693086332337,0.9999975278541113
8.7,0.9999972180153633,0.9999767579606489,0.999998257198021
8.8,0.9999980692149706,0.9999824886761464,0.9999987798985442
8.9,0.9999986665157211,0.9999868756662994,0.9999868756662994
9.0,0.9999990834834214,0.9999902170921113,0.9999994106018728
