z,point_estimate,lower_ci,upper_ci
0,0.070172245,0.043819321,0.074511599
0.1,0.078375361,0.047461662,0.083672956
0.2,0.087316581,0.051617414,0.093655789
0.3,0.097035791,0.056380237,0.104491766
0.4,0.107571591,0.061857353,0.116208398
0.5,0.118960657,0.068170657,0.128828352
0.6,0.131237012,0.075457417,0.142368803
0.7,0.144431246,0.083870295,0.156840811
0.8,0.158569658,0.093576349,0.172248758
0.9,0.173673355,0.104754507,0.188589848
1,0.189757321,0.117591198,0.205853694
1.1,0.206829469,0.132273511,0.224021994
1.2,0.224889709,0.148979666,0.243068321
1.3,0.243929066,0.16786669,0.262958024
1.4,0.263928875,0.189043839,0.283648262
1.5,0.284860098,0.211807733,0.305088161
1.6,0.306682799,0.235577205,0.327219107
1.644854,0.31674761,0.246518671,0.337352991
1.7,0.329345811,0.260173724,0.349975172
1.8,0.352786641,0.285445591,0.373283668
1.9,0.376931633,0.311202621,0.397065819
1.959964,0.391713014,0.326786934,0.411518968
2,0.401696411,0.337253272,0.42123755
2.1,0.426986621,0.363422851,0.445710372
2.2,0.452698965,0.389757096,0.471226283
2.3,0.478722513,0.416833935,0.49848131
2.4,0.504940265,0.44383899,0.526341246
2.5,0.531230926,0.470723074,0.55456655
2.575829,0.551139712,0.490934063,0.576221156
2.6,0.557470837,0.4972812,0.583049542
2.7,0.583536002,0.523216079,0.611142517
2.8,0.609304145,0.549135434,0.639086052
2.9,0.634656727,0.575178333,0.667057061
3,0.659480856,0.600752501,0.69467068
3.1,0.683671034,0.625677258,0.720949834
3.2,0.707130679,0.650077575,0.745596967
3.290527,0.727665613,0.671698516,0.766507115
3.3,0.729773394,0.673884494,0.768619696
3.4,0.751523942,0.696674414,0.790068654
3.5,0.77231893,0.718868071,0.810004048
3.6,0.792107186,0.740246322,0.828490819
3.7,0.810849842,0.760783581,0.845595451
3.8,0.828520157,0.780387453,0.861384086
3.890592,0.843589495,0.797202952,0.874605496
3.9,0.845103093,0.798910247,0.875921594
4,0.860594689,0.816609109,0.889271275
4.1,0.875001263,0.833460013,0.901494931
4.2,0.888338495,0.849232256,0.912661541
4.3,0.900630406,0.863979034,0.922876407
4.4,0.911908291,0.877746387,0.93218842
4.5,0.922209628,0.89050486,0.940640826
4.6,0.931576987,0.90207095,0.948278508
4.7,0.940056978,0.912784171,0.955131557
4.8,0.947699235,0.922672664,0.96124115
4.9,0.954555481,0.931759143,0.966688209
5,0.960678649,0.939851964,0.971523163
5.1,0.966122102,0.94705733,0.975783779
5.2,0.970938932,0.953585783,0.979496623
5.3,0.975181347,0.959356366,0.98274544
5.4,0.978900156,0.964366544,0.985559394
5.5,0.982144324,0.968854908,0.987972835
5.6,0.984960629,0.972865809,0.990024291
5.7,0.987393376,0.97643697,0.991756228
5.8,0.989484202,0.979605,0.99322766
5.9,0.991271934,0.982405147,0.994465109
6,0.992792513,0.984871086,0.995502532
6.1,0.994078966,0.987034768,0.996367315
6.2,0.995161427,0.988926289,0.997080582
6.3,0.9960672,0.990573824,0.997669121
6.4,0.996820849,0.992003577,0.998149012
6.5,0.99744432,0.993239775,0.998539853
6.6,0.997957081,0.994304683,0.9988546
6.7,0.998376282,0.995218649,0.999107102
6.8,0.998716924,0.996000162,0.999308303
6.9,0.998992029,0.996665935,0.999466754
7,0.999212826,0.997230993,0.999590444
7.1,0.999388919,0.997708775,0.999686712
7.2,0.999528465,0.998111239,0.999761472
7.3,0.99963834,0.998448971,0.999819591
7.4,0.999724293,0.9987313,0.999864258
7.5,0.999791094,0.998966401,0.999898362
7.6,0.999842672,0.99916141,0.999924381
7.7,0.999882236,0.999322523,0.999322523
7.8,0.999912385,0.999455095,0.999958903
7.9,0.999935209,0.999563734,0.9999699
8,0.999952376,0.999652385,0.999978051
8.1,0.999965203,0.999724413,0.999984081
8.2,0.999974726,0.999782671,0.999988522
8.3,0.999981751,0.999829573,0.999991784
8.4,0.999986901,0.999867147,0.999994153
8.5,0.999990651,0.999897093,0.999995859
8.6,0.999993366,0.999920829,0.99999708
8.7,0.999995319,0.999939533,0.999997951
8.8,0.999996716,0.999954178,0.999998568
8.9,0.999997708,0.999965566,0.999999005
9,0.99999841,0.999974353,0.999974353
