"paper.id","meta.analysis.paper","meta.analysis.id","meta.analysis.year","study","study.year","eff.size.measure","grouped_es","eff.size","var.eff.size","se.eff.size","z","key","study2","dup"
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts58",1988,"z.r","Zr",-1.025259251,0.002680965,0.0517780358839537,-19.8010456267178,"7_munguia-rosas.et.al.2011.ecoletts58_1988","munguiarosasetal2011ecoletts58_1988",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts56",1989,"z.r","Zr",-1.38858166,0.014084507,0.118678165641368,-11.7003970569964,"7_munguia-rosas.et.al.2011.ecoletts56_1989","munguiarosasetal2011ecoletts56_1989",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts63",1990,"z.r","Zr",-0.12277167,0.002283105,0.0477818480178404,-2.56942071294858,"7_munguia-rosas.et.al.2011.ecoletts63_1990","munguiarosasetal2011ecoletts63_1990",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts14",1991,"z.r","Zr",-0.391903433,0.02173913,0.147441954680478,-2.65801843070581,"7_munguia-rosas.et.al.2011.ecoletts14_1991","munguiarosasetal2011ecoletts14_1991",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts22",1991,"z.r","Zr",-0.167744914,0.00729927,0.0854357653444973,-1.96340388973649,"7_munguia-rosas.et.al.2011.ecoletts22_1991","munguiarosasetal2011ecoletts22_1991",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts52",1991,"z.r","Zr",-0.214217711,0.015151515,0.123091490363875,-1.74031291981877,"7_munguia-rosas.et.al.2011.ecoletts52_1991","munguiarosasetal2011ecoletts52_1991",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts59",1991,"z.r","Zr",-0.255868805,0.004048583,0.063628476329392,-4.02129391996467,"7_munguia-rosas.et.al.2011.ecoletts59_1991","munguiarosasetal2011ecoletts59_1991",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts59",1991,"z.r","Zr",-0.066096083,0.023255814,0.152498570485103,-0.433421000536242,"7_munguia-rosas.et.al.2011.ecoletts59_1991","munguiarosasetal2011ecoletts59_1991",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts7",1991,"z.r","Zr",-0.161386696,0.142857143,0.377964473198209,-0.426989062316888,"7_munguia-rosas.et.al.2011.ecoletts7_1991","munguiarosasetal2011ecoletts7_1991",FALSE
7,"munguia-rosas.et.al.2011.ecoletts",20,2011,"munguia-rosas.et.al.2011.ecoletts16",1992,"z.r","Zr",0.213171347,0.037037037,0.19245008963365,1.10767081171952,"7_munguia-rosas.et.al.2011.ecoletts16_1992","munguiarosasetal2011ecoletts16_1992",FALSE
