multiplier,point_estimate_2_0,lower_ci_2_0,upper_2_0,point_estimate_2_6,lower_ci_2_6,upper_2_6,point_estimate_3_3,lower_ci_3_3,upper_3_3
0.9,0.3625922958716058,0.332643055576575,0.3878185929677239,0.529025599609166,0.4837713062787024,0.5507484232576159,0.7062587977215907,0.6585180168017908,0.7368122204329949
1.0,0.38721012859102344,0.35542332238148666,0.4145784066411831,0.5598063888476876,0.5138439340779881,0.5814992930637874,0.7370701065938917,0.6902526957623807,0.7663068198343866
1.1,0.4098896049314593,0.3764474903582846,0.439462656865898,0.5873014838139423,0.5410087146307107,0.6088398788938401,0.7633743144582684,0.7177677166078082,0.7911709054936926
1.2,0.43080324001932313,0.3959131703282844,0.4624697719017177,0.6119228117940811,0.5655760474718914,0.6333906783421206,0.7859459060313052,0.7417504141257997,0.8122564700668901
1.3,0.45011294448773853,0.413947977576857,0.48376374955920703,0.6340312732571728,0.5877593511071605,0.6553266773504998,0.8054153500920794,0.7627647235332865,0.8302448961240706
1.4,0.4679680034944864,0.4306290423575081,0.5034973853682386,0.6539404671623044,0.6078908645322347,0.6750107212802661,0.8222956173820009,0.7811860537555517,0.8456815804846955
1.5,0.48450450021263536,0.44611088315524733,0.5218111756076141,0.6719216699359624,0.6262243005472711,0.692778981631755,0.8370047540896706,0.7974401417476712,0.8590042965441828
1.6,0.4998455726312029,0.4605263715026738,0.5388331936313407,0.6882090641493246,0.6429051504939168,0.7088111564844605,0.8498844495225959,0.8118386836656367,0.8705658347317221
1.7,0.5141021240689498,0.4739679897809117,0.554679527975872,0.7030047200240223,0.6581933754141102,0.7233216995121059,0.8612150316953029,0.8246784328489704,0.8806518365558417
1.8,0.5273737547885399,0.4865103912986903,0.5694550229753212,0.7164831102596083,0.6722380194561285,0.7364946905399992,0.8712274624432897,0.8361597582935537,0.8894947548794003
1.9,0.5397497747699753,0.49825775881723544,0.5832541608262927,0.7287950867836661,0.6852155252490028,0.7484884086788399,0.8801128897938847,0.8464736138450506,0.8972847594984716
2.0,0.5513102157982521,0.509232461763672,0.5961619870366247,0.7400713238981866,0.6971972351027372,0.7594392466050417,0.8880302453713853,0.8557127158614559,0.9041782613585274
